episode,reward,steps,success
1,-0.5,50,False
2,-0.5,50,False
3,-0.5,50,False
4,-0.5,50,False
5,-0.5,50,False
6,-0.5,50,False
7,-0.5,50,False
8,-0.5,50,False
9,-0.5,50,False
10,-0.5,50,False
